package,DI,TI,PY,SO,AU,AU_UN,AU1_CO
bibliometrix,10.1016/j.wneu.2018.09.231,ANOMALOUS V3 SEGMENT ANEURYSM ASSOCIATED WITH CONGENITAL ATLANTOAXIAL DISLOCATION: CASE REPORT AND DISCUSSING THE CHALLENGES IN MANAGEMENT,2019,WORLD NEUROSURGERY,MALIK P;SALUNKE P;KATARIA M;KARTHIGEYAN M;RAY N,NOTREPORTED,INDIA
bibliometrix,10.1016/j.wneu.2018.09.217,INTRAOPERATIVE ULTRASOUND-GUIDED POSTERIOR CERVICAL LAMINECTOMY FOR DEGENERATIVE CERVICAL MYELOPATHY,2019,WORLD NEUROSURGERY,SCHAR RT;WILSON JR;GINSBERG HJ,UNIV TORONTO,CANADA
bibliometrix,10.1016/j.wneu.2018.09.200,HEMORRHAGIC ATYPICAL PLANUM SPHENOIDALE MENINGIOMA WITH INTERMITTENT VISION LOSS-RARE PRESENTATION OF APOPLEXY,2019,WORLD NEUROSURGERY,RAVINDRA VM;GOZAL YM;PALMER C;COULDWELL WT,UNIV UTAH;UNIV UTAH;BAYLOR COLL MED;MAYFIELD CLIN,USA
bibliometrix,10.1016/j.wneu.2018.09.184,CENTRAL RETINAL ARTERY THROMBOEMBOLISM WITHOUT OPHTHALMIC ARTERY OCCLUSION DURING STENT-ASSISTED COIL EMBOLIZATION OF OPHTHALMIC ARTERY ANEURYSM,2019,WORLD NEUROSURGERY,PARK H;NAKAGAWA I;YOKOYAMA S;WADA T;MOTOYAMA Y;KICHIKAWA K;NAKASE H,NARA MED UNIV;NARA MED UNIV,JAPAN
bibliometrix,10.1016/j.wneu.2018.09.236,BILATERAL VERTEBRAL ARTERY DISSECTION AND UNILATERAL CAROTID ARTERY DISSECTION IN CASE OF EHLERS-DANLOS SYNDROME TYPE IV,2019,WORLD NEUROSURGERY,OHSHIMA T;MIYACHI S;ISAJI T;MATSUO N;KAWAGUCHI R;TAKAYASU M,AICHI MED UNIV;AICHI MED UNIV,JAPAN
bibliometrix,10.1016/j.wneu.2018.09.206,MECKEL CAVE EPIDERMOID CYST PRESENTING AS MULTIPLE CRANIAL NERVE DEFICITS DUE TO INDIRECT TUMORAL COMPRESSION OF THE CAVERNOUS SINUS: A CASE REPORT AND LITERATURE REVIEW,2019,WORLD NEUROSURGERY,BUSCH CM;PRICKETT JT;STEIN R;CUOCO JA;MARVIN EA;WITCHER MR,CARIL CLIN;CARIL SCH MED;SCH NEUROSCI;EDWARD VIA COLL OSTEOPATH MED;COLL OSTEOPATH MED,USA
bibliometrix,10.1016/j.wneu.2018.10.010,"""SWIRL SIGN"" IN EXTRADURAL HEMATOMA",2019,WORLD NEUROSURGERY,GUPTA VK;SETH A,GOVT MED COLL AND HOSP;GOVT MED COLL AND HOSP;POSTGRAD INST MED EDUC AND RES,INDIA
bibliometrix,10.1016/j.wneu.2018.09.096,ISOLATED ABDUCENS NERVE PALSY ASSOCIATED WITH RUPTURED POSTERIOR INFERIOR CEREBELLAR ARTERY ANEURYSM: RARE NEUROLOGIC FINDING,2019,WORLD NEUROSURGERY,PARR M;CARMINUCCI A;AL-MUFTI F;ROYCHOWDHURY S;GUPTA G,ROBERT WOOD JOHNSON MED SCH;ROBERT WOOD JOHNSON MED SCH;ROBERT WOOD JOHNSON MED SCH,USA
bibliometrix,10.1016/j.wneu.2018.10.011,RETRO-ODONTOID PSEUDOTUMOR WITHOUT RADIOLOGIC ATLANTOAXIAL INSTABILITY: A SYSTEMATIC REVIEW,2019,WORLD NEUROSURGERY,ROBLES LA;MUNDIS GM,HOSPITEN;SAN DIEGO CTR SPINAL DISORDERS,MEXICO
bibliometrix,10.1016/j.wneu.2018.09.218,"MULTIDRUG-RESISTANT ACINETOBACTER BAUMANNII VENTRICULOSTOMY-RELATED INFECTION, TREATED BY A COLISTIN, TIGECYCLINE, AND INTRAVENTRICULAR FIBRINOLYSIS",2019,WORLD NEUROSURGERY,PERIER F;COUFFIN S;MARTIN M;BARDON J;COOK F;MOUNIER R,HENRI MONDOR UNIV HOSP PARIS,FRANCE
bibliometrix,10.1016/j.wneu.2018.08.220,MULTIPLE INTRACRANIAL ANEURYSMS FROM COCCIDIOIDAL MENINGITIS: CASE REPORT FEATURING ANEURYSM FORMATION AND SPONTANEOUS THROMBOSIS WITH LITERATURE REVIEW,2019,WORLD NEUROSURGERY,BUCHANAN IA;RAVINA K;STRICKLAND B;FREDRICKSON V;SHE R;MATHEW A;RENNERT R;RUSSIN JJ,UNIV SOUTHERN CALIF;UNIV SOUTHERN CALIF;UNIV CALIF SAN DIEGO,USA
bibliometrix,10.1016/j.wneu.2018.10.031,NECROTIZING FASCIITIS INVOLVING SPINE: UNUSUAL MEDICAL EMERGENCY FOR SPINE SURGEON,2019,WORLD NEUROSURGERY,TELES AR;MONTGOMERY S;THOMAS KC,MCGILL UNIV;UNIV CALGARY,CANADA
bibliometrix,10.1016/j.wneu.2018.10.030,BONE OVERGROWTH CAUSING PROXIMAL VENTRICULOPERITONEAL SHUNT MALFUNCTION,2019,WORLD NEUROSURGERY,KIM M;RYBKIN I;SMITH H;COOPER J;TOBIAS M,WESTCHESTER MED CTR;NEW YORK MED COLL,USA
bibliometrix,10.1016/j.wneu.2018.09.167,MODERATE SEDATION FOR PIPELINE EMBOLIZATION OF POSTERIOR CIRCULATION DISEASE: TECHNICAL NOTE FROM A SINGLE CENTER,2019,WORLD NEUROSURGERY,RAVINDRA VM;GRIAUZDE J;SCOVILLE JP;KILBURG CJ;WILKINSON DA;CHRISTENSEN C;COULDWELL WT;TAUSSKY P,UNIV UTAH;UNIV UTAH;UNIV MICHIGAN,USA
bibliometrix,10.1016/j.wneu.2018.09.230,HYBRID SURGERY FOR INTERNAL CAROTID ARTERY REVASCULARIZATION,2019,WORLD NEUROSURGERY,ZANATY M;SAMANIEGO EA;TEFERI N;KUNG DK;NAKAGAWA D;HUDSON J;ORTEGA-GUTIERREZ S;ALLAN L;JABBOUR P;HASAN DM,UNIV IOWA HOSP AND CLIN;UNIV IOWA HOSP AND CLIN;UNIV IOWA HOSP AND CLIN;UNIV IOWA HOSP AND CLIN;UNIV PENN;UNIV TOKYO HOSP;THOMAS JEFFERSON UNIV HOSP,USA
bibliometrix,10.1016/j.wneu.2018.10.012,ENDONASAL CHIASMAPEXY USING AUTOLOGOUS CARTILAGE/BONE FOR EMPTY SELLA SYNDROME AFTER CABERGOLINE THERAPY FOR PROLACTINOMA,2019,WORLD NEUROSURGERY,ISHIHARA E;TODA M;SASAO R;OZAWA H;SAITO S;OGAWA K;YOSHIDA K,KEIO UNIV;KEIO UNIV,JAPAN
bibliometrix,10.1016/j.wneu.2018.10.041,TRANSIENT EPISODE OF ALICE IN WONDERLAND SYNDROME AFTER VENTRICULOATRIAL SHUNT REVISION,2019,WORLD NEUROSURGERY,ENTEZAMI P;PAUL A;ADAMO MA;BOULOS AS,ALBANY MED COLL,USA
bibliometrix,10.1016/j.wneu.2018.10.049,ENDOVASCULAR COILING OF RUPTURED VERY SMALL DISSECTING FUSIFORM ANEURYSM OF POSTERIOR INFERIOR CEREBELLAR ARTERY WITH PARENT ARTERY PRESERVATION BY MICROCATHETER AUTO-ASSISTANCE,2019,WORLD NEUROSURGERY,ARONOV M;MOKIN M;ZELENKOV A;POPUGAEV K;TSARIKAEV A;REUTOV A,STATE RES CTR BURNASYAN FMBC FMBA RUSSIA;STATE RES CTR BURNASYAN FMBC FMBA RUSSIA;STATE RES CTR BURNASYAN FMBC FMBA RUSSIA;FSBI CCH OUTPATIENT HLTH CTR;UNIV S FLORIDA,RUSSIA
bibliometrix,10.1016/j.wneu.2018.09.156,INTRAMEDULLARY AND EXTRAMEDULLARY THORACIC SPINAL LIPOMAS WITHOUT SPINAL DYSRAPHISM: CLINICAL PRESENTATION AND SURGICAL MANAGEMENT,2019,WORLD NEUROSURGERY,CHEN KY;OSORIO J;RIVERA J;CHOU D,UNIV SAN FRANCISCO;TAICHUNG VET GEN HOSP;TAICHUNG VET GEN HOSP;UNIV CALIF BERKELEY,USA
bibliometrix,10.1016/j.wneu.2018.09.199,CRANIOPLASTY WITH POROUS HYDROXYAPATITE CUSTOM-MADE BONE FLAP: RESULTS FROM A MULTICENTER STUDY ENROLLING 149 PATIENTS OVER 15 YEARS,2019,WORLD NEUROSURGERY,FRICIA M;NICOLOSI F;GANAU M;CEBULA H;TODESCHI J;SANTIN MD;NANNAVECCHIA B;MORSELLI C;CHIBBARO S,CANNIZZARO HOSP;HUMANITAS CLIN AND RES CTR;STRASBOURG UNIV HOSP,ITALY
bibliometrix,10.1016/j.wneu.2018.10.042,AN UNUSUAL PRESENTATION OF CHRONIC SUBDURAL HEMATOMA WITH ISOLATED FOOTDROP,2019,WORLD NEUROSURGERY,WEISBERG SD;HOUTEN JK,MAIMONIDES HOSP;DONALD AND BARBARA ZUCKER SCH MED HOFSTRA NORTHWELL,USA
bibliometrix,10.1016/j.wneu.2018.10.057,THE SIBERIAN LANCET: ONE MORE POSSIBLE INNOVATIVE EXAMPLE OF SCALPEL'S CONTRIBUTION TO THE EVOLUTION OF SURGICAL ANATOMY AND NEUROSURGERY,2019,WORLD NEUROSURGERY,TSOUCALAS G,DEMOCRITUS UNIV THRACE,GREECE
bibliometrix,10.1016/j.wneu.2018.10.047,ENDOSCOPIC ENDONASAL APPROACH COMBINED WITH A SIMULTANEOUS TRANSCRANIAL APPROACH FOR GIANT PITUITARY TUMORS,2019,WORLD NEUROSURGERY,KUGA D;TODA M;OZAWA H;OGAWA K;YOSHIDA K,KEIO UNIV;KEIO UNIV,JAPAN
bibliometrix,10.1016/j.wneu.2018.10.053,APPLICATION OF A THROMBIN-GELATIN MATRIX IN THE MANAGEMENT OF INTRACTABLE HEMORRHAGE DURING STEREOTACTIC BIOPSY,2019,WORLD NEUROSURGERY,DE QUINTANA-SCHMIDT C;LEIDINGER A;TEIXIDO JM;BERTRAN GC,HOSP SANTA CREU AND SANT PAU,SPAIN
bibliometrix,10.1016/j.wneu.2018.10.045,THE EVOLUTION OF MODERN TREATMENT FOR DEPRESSED SKULL FRACTURES,2019,WORLD NEUROSURGERY,STEIN SC,UNIV PENN,USA
bibliometrix,10.1016/j.wneu.2018.10.055,PALLIDOTHALAMIC TRACTOTOMY FOR PARKINSON DISEASE WITH 1-YEAR FOLLOW-UP: A CASE REPORT,2019,WORLD NEUROSURGERY,HORISAWA S;NANKE M;KAWAMATA T;TAIRA T,TOKYO WOMENS MED UNIV;TOKYO WOMENS MED UNIV,JAPAN
bibliometrix,10.1016/j.wneu.2018.10.008,EFFECT OF BILATERAL ANTERIOR CINGULOTOMY ON CHRONIC NEUROPATHIC PAIN WITH SEVERE DEPRESSION,2019,WORLD NEUROSURGERY,DENG ZD;PAN YX;LI DY;ZHANG CC;JIN HY;WANG T;ZHAN SK;SUN BM,SHANGHAI JIAO TONG UNIV;SHANGHAI JIAO TONG UNIV,CHINA
bibliometrix,10.1016/j.wneu.2018.09.183,PITUITARY APOPLEXY FOLLOWING ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY,2019,WORLD NEUROSURGERY,CRISMAN C;WARD M;MAJMUNDAR N;DAMODARA N;HSUEH WD;ELOY JA;LIU JK,RUTGERSE NEW JERSEY MED SCH;RUTGERSE NEW JERSEY MED SCH,USA
bibliometrix,10.1016/j.wneu.2018.10.046,SUBCORTICAL CALCULATION MAPPING DURING PARIETAL GLIOMA SURGERY IN THE DOMINANT HEMISPHERE: A CASE REPORT,2019,WORLD NEUROSURGERY,MATSUDA R;TAMURA K;NISHIMURA F;NAKAGAWA I;MOTOYAMA Y,NARA MED UNIV,JAPAN
bibliometrix,10.1016/j.wneu.2018.10.048,"PITUITARY ADENOMA AND CRANIOPHARYNGIOMA COLLISION TUMOR: DIAGNOSTIC, TREATMENT CONSIDERATIONS, AND REVIEW OF THE LITERATURE",2019,WORLD NEUROSURGERY,SNYDER R;FAYED I;DOWLATI E;SEAGER A;MASON RB,MEDSTAR GEORGETOWN UNIV HOSP;MEDSTAR WASHINGTON HOSP CTR;MEDSTAR WASHINGTON HOSP CTR,USA
bibliometrix,10.1016/j.wneu.2018.10.074,SURGICAL MANAGEMENT OF TRIGEMINAL NEURALGIA IN CHILDREN,2019,WORLD NEUROSURGERY,CHICOINE NH;YAACOUB AP;JEA A;RASKIN JS,MARIAN UNIV;INDIANA UNIV,USA
bibliometrix,10.1016/j.wneu.2018.09.182,NEED FOR GRASS ROOT INNOVATION IN DEVELOPING COUNTRIES: CASE FOR STATIONARY BINDER CLIPS IN SCALP HEMOSTASIS,2019,WORLD NEUROSURGERY,YAGNICK NS;SINGH R;TRIPATHI M;MOHINDRA S;DEORA H;SURI A;GUPTA SK,POSTGRAD INST MED EDUC AND RES;ALL INDIA INST MED SCI;SANJAY GANDHI POST GRAD INST MED SCI,INDIA
bibliometrix,10.1016/j.wneu.2018.09.219,RARE AND SYMPTOMATIC CAVERNOUS DONUT-SHAPED ANEURYSM TREATED BY FLOW DIVERTER DEPLOYMENT,2019,WORLD NEUROSURGERY,SGRECCIA A;CARAGLIANO A;SANFILIPPO G;CAMPA S;TRIGNANI R;GIANNONI M;DE NICOLA M;CONSOLI A;RODESCH G;POLONARA G,HOSP NEUROSURG;UNIV MESSINA;IRCCS FDN POLICLIN SAN MATTEO;SURESNES,ITALY
bibliometrix,10.1016/j.wneu.2018.09.185,INTRACRANIAL MIGRATION OF A BROKEN ROD AFTER ORBITOCRANIAL INJURY IN AN ADULT,2019,WORLD NEUROSURGERY,RAHIMIZADEH A,IRAN UNIV MED SCI,IRAN
bibliometrix,10.1016/j.wneu.2018.10.028,NATURAL COURSE OF MYXOPAPILLARY EPENDYMOMA: UNUSUAL CASE REPORT AND REVIEW OF LITERATURE,2019,WORLD NEUROSURGERY,PUSAT S;ERBAS YC;GOCMEN S;KOCAOGLU M;ERDOGAN E,SULTAN ABDULHAMID TRAINING AND RES HOSP;CRANIOSPINAL SURG CTR;ANADOLU MED CTR HOSP;PAMUKKALE UNIV HOSP,TURKEY
bibliometrix,10.1016/j.wneu.2018.08.176,RECURRENT SECONDARY TRIGEMINAL NEURALGIA CAUSED BY OBLITERATED TENTORIAL DURAL ARTERIOVENOUS FISTULA CURED WITH SURGICAL RESECTION: CASE REPORT AND LITERATURE REVIEW,2019,WORLD NEUROSURGERY,JIANG LD;QI M;YE M;LI M;BAO YH;LIANG JT,CAPITAL MED UNIV,CHINA
bibliometrix,10.1016/j.wneu.2018.09.097,GENE THERAPY FOR NEUROLOGIC DISEASE: A NEUROSURGICAL REVIEW,2019,WORLD NEUROSURGERY,HITTI FL;GONZALEZ-ALEGRE P;LUCAS TH,UNIV PENN;UNIV PENN,USA
bibliometrix,10.1016/j.wneu.2018.09.134,OPTIMIZING PATIENT ACCESS DURING AN EMERGENCY WHILE USING INTRAOPERATIVE COMPUTED TOMOGRAPHY,2019,WORLD NEUROSURGERY,BUSTILLO MA;LIEN CA;MACK PF;KOPMAN DJ;SAFAVYNIA SA;RUBIN L;STEIN D;HARTL R;STIEG PE;HERNANDEZ RN;GOLDSTEIN PA,WEILL CORNELL MED COLL;WEILL CORNELL MED COLL;WEILL CORNELL MED COLL;MED COLL WISCONSIN;RUTGERS MED SCH,USA
bibliometrix,10.1016/j.wneu.2018.09.048,UTILITY OF THE VIDIAN CANAL IN ENDOSCOPIC SKULL BASE SURGERY: DETAILED ANATOMY AND RELATIONSHIP TO THE INTERNAL CAROTID ARTERY,2019,WORLD NEUROSURGERY,ADIN ME;OZMEN CA;AYGUN N,TATVAN CAN HOSP;DICLE UNIV;JOHNS HOPKINS UNIV,TURKEY
bibliometrix,10.1016/j.wneu.2018.09.192,REGIONAL VARIATION IN OPIOID USE AFTER LUMBAR SPINE SURGERY,2019,WORLD NEUROSURGERY,ADOGWA O;DAVISON MA;VUONG VD;DESAI SA;LILLY DT;MORENO J;CHENG J;BAGLEY C,RUSH UNIV;UNIV TEXAS SOUTHWESTERN MED CTR DALLAS;UNIV CINCINNATI,USA
bibliometrix,10.1016/j.wneu.2018.09.124,"PROGNOSTIC IMPORTANCE OF AGE, TUMOR LOCATION, AND TUMOR GRADE IN GRADE II ASTROCYTOMAS: AN INTEGRATED ANALYSIS OF THE CANCER GENOME ATLAS AND THE SURVEILLANCE, EPIDEMIOLOGY, AND END RESULTS DATABASE",2019,WORLD NEUROSURGERY,ALATTAR AA;CARROLL KT;BRYANT AK;HIRSHMAN B;JOSHI R;CARTER BS;HARISMENDY O;CHEN CC,UNIV CALIF SAN DIEGO;UNIV CALIF SAN DIEGO;UNIV CALIF SAN DIEGO;MASSACHUSETTS GEN HOSP;CARNEGIE MELLON UNIV;UNIV MINNESOTA,USA
bibliometrix,10.1016/j.wneu.2018.10.018,HUMAN PAPILLOMAVIRUS AND HUMAN CYTOMEGALOVIRUS INFECTION AND ASSOCIATION WITH PROGNOSIS IN PATIENTS WITH PRIMARY GLIOBLASTOMA IN PAKISTAN,2019,WORLD NEUROSURGERY,ALI SMA;MIRZA Y;AHMAD Z;ZAHID N;ENAM SA,OFF ACAD AND RES SURG;DEPT PATHOL AND LAB MED;AGA KHAN UNIV,PAKISTAN
bibliometrix,10.1016/j.wneu.2018.09.038,TRANSCLIVAL VENOUS CIRCULATION: ANATOMIC STUDY,2019,WORLD NEUROSURGERY,ALTAFULLA JJ;RAI R;SHRAGER S;VOIN V;IWANAGA J;LITVACK Z;LOUKAS M;TUBBS RS,SEATTLE SCI FDN;SWEDISH NEUROSCI INST;ST GEORGES UNIV,USA
bibliometrix,10.1016/j.wneu.2018.09.103,BEYOND SCIENCE: EFFECT OF MARITAL STATUS AND SOCIOECONOMIC INDEX ON OUTCOMES OF SPINAL CORD TUMORS: ANALYSIS FROM A NATIONAL CANCER REGISTRY,2019,WORLD NEUROSURGERY,ALVI MA;WAHOOD W;HUANG AE;KEREZOUDIS P;LACHANCE DH;BYDON M,NEUROINFORMAT LAB;MAYO CLIN;MAYO CLIN;SCH MED,USA
bibliometrix,10.1016/j.wneu.2018.09.140,OBJECTIVE PUPILLOMETRY AS AN ADJUNCT TO PREDICTION AND ASSESSMENT FOR OCULOMOTOR NERVE INJURY AND RECOVERY: POTENTIAL FOR PRACTICAL APPLICATIONS,2019,WORLD NEUROSURGERY,AOUN SG;WELCH BG;CORTES M;STUTZMAN SE;MACALLISTER MC;EL AHMADIEH TY;OSMAN M;FIGUEROA SA;WHITE JA;BATJER HH;OLSON DM,UNIV TEXAS SOUTHWESTERN MED CTR;UNIV TEXAS SOUTHWESTERN MED CTR;UNIV TEXAS SOUTHWESTERN MED CTR,USA
bibliometrix,10.1016/j.wneu.2018.09.063,THE VALUE OF COMPUTED TOMOGRAPHY IMAGING OF THE HEAD AFTER VENTRICULOPERITONEAL SHUNT SURGERY IN ADULTS,2019,WORLD NEUROSURGERY,BEHMANESH B;KEIL F;DUBINSKI D;WON SY;QUICK-WELLER J;SEIFERT V;GESSLER F,GOETHE UNIV FRANKFURT;GOETHE UNIV FRANKFURT,GERMANY
bibliometrix,10.1016/j.wneu.2018.09.113,ACUTE SURGICAL RISK PROFILE OF INTRAMEDULLARY SPINAL CORD TUMOR RESECTION IN PEDIATRIC PATIENTS: A PEDIATRIC NATIONAL SURGICAL QUALITY IMPROVEMENT PROGRAM ANALYSIS,2019,WORLD NEUROSURGERY,BHIMANI AD;ROSINSKI CL;DENYER S;HOBBS JG;PATEL S;SHAH K;MUDREAC A;DIAMOND R;BEHBAHANI M;MEHTA AI,UNIV ILLINOIS;UNIV CHICAGO,USA
bibliometrix,10.1016/j.wneu.2018.09.079,INTRACRANIAL ELECTRODE PLACEMENT FOR SEIZURES BEFORE TEMPORAL LOBECTOMY: A RISK-BENEFIT ANALYSIS,2019,WORLD NEUROSURGERY,BHIMANI AD;SELNER AN;ESFAHANI DR;CHIU RG;ROSINSKI CL;ROSENBERG D;MUDREAC A;DIAMOND RJ;ALMADIDY Z;MEHTA AI,UNIV ILLINOIS,USA
bibliometrix,10.1016/j.wneu.2018.09.161,INTRACRANIAL DURAL ARTERIOVENOUS FISTULA AS A REVERSIBLE CAUSE OF DEMENTIA: CASE SERIES AND LITERATURE REVIEW,2019,WORLD NEUROSURGERY,BRITO A;TSANG ACO;HILDITCH C;NICHOLSON P;KRINGS T;BRINJIKJI W,FDN UNIV SANITAS;UNIV TORONTO;UNIV HONG KONG,COLOMBIA
bibliometrix,10.1016/j.wneu.2018.09.139,CAN EARLY POSTOPERATIVE O-(2-(18F)FLUOROETHYL)-L-TYROSINE POSITRON EMISSION TOMOGRAPHY AFTER RESECTION OF GLIOBLASTOMA PREDICT THE LOCATION OF LATER TUMOR RECURRENCE?,2019,WORLD NEUROSURGERY,BUCHMANN N;GEMPT J;RYANG YM;PYKA T;KIRSCHKE JS;MEYER B;RINGEL F,TECH UNIV MUNICH;TECH UNIV MUNICH;TECH UNIV MUNICH;JOHANNES GUTENBERG UNIV MAINZ,GERMANY
bibliometrix,10.1016/j.wneu.2018.08.242,ALIGNMENT RISK FACTORS FOR PROXIMAL JUNCTIONAL KYPHOSIS AND THE EFFECT OF LOWER THORACIC JUNCTIONAL TETHERS FOR ADULT SPINAL DEFORMITY,2019,WORLD NEUROSURGERY,BUELL TJ;CHEN CJ;QUINN JC;BUCHHOLZ AL;MAZUR MD;MULLIN JP;NGUYEN JH;TAYLOR DG;BESS S;LINE BG;AMES CP;SCHWAB FJ;LAFAGE V;SHAFFREY CI;SMITH JS,UNIV VIRGINIA HLTH SYST;UNIV TEXAS HLTH SCI CTR HOUSTON;MED UNIV SOUTH CAROLINA;DENVER INT SPINE CTR;UNIV CALIF SAN FRANCISCO;HOSP SPECIAL SURG,USA
bibliometrix,10.1016/j.wneu.2018.09.237,COMPARISON OF SURVIVAL OUTCOMES BETWEEN PARTIAL RESECTION AND BIOPSY FOR PRIMARY GLIOBLASTOMA: A PROPENSITY SCORE-MATCHED STUDY,2019,WORLD NEUROSURGERY,BYUN J;KIM YH;NAM SJ;PARK JE;CHO YH;KIM HS;HONG SH;KIM JH;KIM SJ;KIM CJ,UNIV ULSAN;UNIV ULSAN;UNIV ULSAN,KOREA
bibliometrix,10.1016/j.wneu.2018.09.137,FIBROUS PITUITARY MACROADENOMAS: PREDICTIVE ROLE OF PREOPERATIVE RADIOLOGIC INVESTIGATIONS FOR PROPER SURGICAL PLANNING IN A COHORT OF 66 PATIENTS,2019,WORLD NEUROSURGERY,CAPPELLETTI M;RUGGERI AG;SPIZZICHINO L;D'AMICO A;D'AVELLA E;DELFINI R,SAPIENZA UNIV ROME;UNIV HOSP;UNIV PADUA,ITALY
