DI,country_refsplitr,AU1_CO,code_refsplitr,code_AU1_CO,
10.1016/j.ces.2019.01.004,france,CANADA,FRA,CAN,
10.1016/j.vaccine.2019.03.014,japan,AUSTRALIA,JPN,AUS,
10.1016/j.wneu.2019.01.149,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.01.255,UK,CAMBODIA,GBR,KHM,
10.1016/j.wneu.2019.01.160,australia,USA,AUS,USA,
10.1016/j.wneu.2019.01.062,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2018.12.220,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.01.074,usa,NETHERLANDS,USA,NLD,
10.1016/j.wneu.2019.01.133,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2019.04.011,belgium,USA,BEL,USA,
10.1016/j.vaccine.2019.04.036,UK,ITALY,GBR,ITA,
10.1016/j.vaccine.2019.04.016,switzerland,USA,CHE,USA,
10.1016/j.vaccine.2019.03.074,india,NETHERLANDS,IND,NLD,
10.1016/j.ces.2019.01.013,peoples r china,USA,CHN,USA,
10.1016/j.ces.2018.12.058,UK,CHINA,GBR,CHN,
10.1016/j.ces.2019.01.042,germany,VIETNAM,DEU,VNM,
10.1016/j.vaccine.2019.04.047,laos,USA,LAO,USA,
10.1016/j.vaccine.2019.04.050,netherlands,USA,NLD,USA,
10.1016/j.vaccine.2019.03.063,sweden,CANADA,SWE,CAN,
10.1016/j.vaccine.2019.04.058,finland,INDIA,FIN,IND,
10.1016/j.vaccine.2019.04.041,belgium,ITALY,BEL,ITA,
10.1016/j.resconrec.2019.02.005,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.01.254,south korea,USA,KOR,USA,
10.1016/j.wneu.2019.02.176,bosnia & herceg,USA,BIH,USA,
10.1016/j.wneu.2019.02.178,usa,CANADA,USA,CAN,
10.1016/j.wneu.2019.03.030,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.01.159,usa,AUSTRALIA,USA,AUS,
10.1016/j.wneu.2019.02.050,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.03.080,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.03.088,ethiopia,NORWAY,ETH,NOR,
10.1016/j.wneu.2019.01.125,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.02.042,lebanon,FRANCE,LBN,FRA,
10.1016/j.wneu.2019.02.089,peoples r china,USA,CHN,USA,
10.1016/j.ces.2019.01.047,switzerland,USA,CHE,USA,
10.1016/j.vaccine.2019.04.029,france,JORDAN,FRA,JOR,
10.1016/j.vaccine.2018.08.009,peoples r china,USA,CHN,USA,
10.1016/j.ces.2019.03.004,peoples r china,USA,CHN,USA,
10.1016/j.ces.2019.03.006,iraq,MALAYSIA,IRQ,MYS,
10.1016/j.resconrec.2019.03.043,peoples r china,AUSTRALIA,CHN,AUS,
10.1016/j.resconrec.2019.03.027,ireland,UNITED KINGDOM,IRL,GBR,
10.1016/j.resconrec.2019.04.007,taiwan,CHINA,TWN,CHN,
10.1016/j.resconrec.2019.03.045,belgium,ITALY,BEL,ITA,
10.1016/j.wneu.2019.03.206,usa,AUSTRALIA,USA,AUS,
10.1016/j.wneu.2019.04.063,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.04.029,sweden,USA,SWE,USA,
10.1016/j.wneu.2019.03.078,vietnam,USA,VNM,USA,
10.1016/j.wneu.2019.04.052,grenada,USA,GRD,USA,
10.1016/j.wneu.2019.03.113,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.03.044,ethiopia,UNITED KINGDOM,ETH,GBR,
10.1016/j.wneu.2019.02.206,south korea,CHINA,KOR,CHN,
10.1016/j.wneu.2019.04.048,peoples r china,USA,CHN,USA,
10.1016/j.vetpar.2019.05.013,france,USA,FRA,USA,
10.1016/j.vaccine.2019.06.023,singapore,USA,SGP,USA,
10.1016/j.vaccine.2019.06.018,italy,MALAWI,ITA,MWI,
10.1016/j.vaccine.2019.06.019,usa,UNITED KINGDOM,USA,GBR,
10.1016/j.vaccine.2019.06.044,usa,UNITED KINGDOM,USA,GBR,
10.1016/j.vaccine.2019.06.076,usa,NETHERLANDS,USA,NLD,
10.1016/j.vaccine.2019.04.025,vietnam,JAPAN,VNM,JPN,
10.1016/j.vaccine.2017.12.081,czech republic,ITALY,CZE,ITA,
10.1016/j.resconrec.2019.04.014,india,UNITED KINGDOM,IND,GBR,
10.1016/j.resconrec.2019.04.021,ireland,CHINA,IRL,CHN,
10.1016/j.resconrec.2019.04.020,UK,CHINA,GBR,CHN,
10.1016/j.toxicon.2019.05.004,tunisia,SAUDI ARABIA,TUN,SAU,
10.1016/j.toxicon.2019.05.001,spain,BRAZIL,ESP,BRA,
10.1016/j.wneu.2019.04.263,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.05.050,UK,NEW ZEALAND,GBR,NZL,
10.1016/j.wneu.2019.04.257,france,BRAZIL,FRA,BRA,
10.1016/j.wneu.2019.05.097,lebanon,USA,LBN,USA,
10.1016/j.wneu.2019.05.105,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.05.100,spain,POLAND,ESP,POL,
10.1016/j.wneu.2019.04.246,italy,FRANCE,ITA,FRA,
10.1016/j.wneu.2019.05.028,iran,USA,IRN,USA,
10.1016/j.wneu.2019.04.249,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.05.066,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.04.002,ethiopia,UNITED KINGDOM,ETH,GBR,
10.1016/j.wneu.2019.04.135,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.03.269,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.04.150,albania,USA,ALB,USA,
10.1016/j.wneu.2019.04.177,japan,USA,JPN,USA,
10.1016/j.wneu.2019.05.005,taiwan,CHINA,TWN,CHN,
10.1016/j.vetpar.2019.07.004,mexico,ANTIGUA,MEX,ATG,
10.1016/j.ces.2019.03.065,taiwan,CHINA,TWN,CHN,
10.1016/j.ces.2019.03.035,greece,UNITED KINGDOM,GRC,GBR,
10.1016/j.vaccine.2019.06.084,usa,KOREA,USA,KOR,
10.1016/j.vaccine.2019.06.073,cambodia,JAPAN,KHM,JPN,
10.1016/j.vaccine.2019.07.073,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2019.07.048,denmark,SWITZERLAND,DNK,CHE,
10.1016/j.vaccine.2019.07.024,south africa,USA,ZAF,USA,
10.1016/j.ces.2019.03.072,germany,BELGIUM,DEU,BEL,
10.1016/j.resconrec.2019.04.028,malaysia,VIETNAM,MYS,VNM,
10.1016/j.wneu.2019.05.088,argentina,USA,ARG,USA,
10.1016/j.wneu.2019.05.259,finland,AUSTRIA,FIN,AUT,
10.1016/j.wneu.2019.06.008,croatia,USA,HRV,USA,
10.1016/j.wneu.2019.06.118,mexico,USA,MEX,USA,
10.1016/j.wneu.2019.05.196,usa,BRAZIL,USA,BRA,
10.1016/j.wneu.2019.05.200,germany,EGYPT,DEU,EGY,
10.1016/j.wneu.2019.05.145,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.05.027,india,UNITED KINGDOM,IND,GBR,
10.1016/j.vetpar.2019.07.014,poland,SWITZERLAND,POL,CHE,
10.1016/j.vaccine.2019.07.096,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2018.11.040,bangladesh,SWEDEN,BGD,SWE,
10.1016/j.vaccine.2019.07.097,netherlands,DENMARK,NLD,DNK,
10.1016/j.vaccine.2018.08.085,india,USA,IND,USA,
10.1016/j.vaccine.2019.08.001,belgium,USA,BEL,USA,
10.1016/j.ces.2019.04.050,south africa,UNITED KINGDOM,ZAF,GBR,
10.1016/j.ces.2019.04.049,UK,CHILE,GBR,CHL,
10.1016/j.vaccine.2019.07.100,UK,ITALY,GBR,ITA,
10.1016/j.vaccine.2019.08.065,usa,ITALY,USA,ITA,
10.1016/j.vaccine.2019.08.017,usa,UNITED KINGDOM,USA,GBR,
10.1016/j.resconrec.2019.06.022,taiwan,CHINA,TWN,CHN,
10.1016/j.resconrec.2019.06.031,turkey,KOREA,TUR,KOR,
10.1016/j.resconrec.2019.06.023,netherlands,CHINA,NLD,CHN,
10.1016/j.toxicon.2019.07.004,argentina,COSTA RICA,ARG,CRI,
10.1016/j.wneu.2019.07.015,usa,BRAZIL,USA,BRA,
10.1016/j.wneu.2019.07.031,usa,AUSTRALIA,USA,AUS,
10.1016/j.wneu.2019.06.182,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.06.228,usa,KOREA,USA,KOR,
10.1016/j.wneu.2019.01.055,canada,BRAZIL,CAN,BRA,
10.1016/j.wneu.2019.06.230,italy,UNITED KINGDOM,ITA,GBR,
10.1016/j.vaccine.2019.02.040,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2019.03.024,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2019.09.094,usa,FRANCE,USA,FRA,
10.1016/j.ces.2019.08.010,switzerland,USA,CHE,USA,
10.1016/j.ces.2019.08.006,denmark,UNITED KINGDOM,DNK,GBR,
10.1016/j.vaccine.2019.02.052,australia,UNITED KINGDOM,AUS,GBR,
10.1016/j.vaccine.2016.12.029,usa,SWITZERLAND,USA,CHE,
10.1016/j.vaccine.2017.09.083,usa,SWITZERLAND,USA,CHE,
10.1016/j.vaccine.2017.10.011,usa,SWITZERLAND,USA,CHE,
10.1016/j.resconrec.2019.104457,taiwan,CHINA,TWN,CHN,
10.1016/j.toxicon.2019.09.017,colombia,CHILE,COL,CHL,
10.1016/j.wneu.2019.09.007,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.09.034,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.08.250,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.08.050,spain,ARGENTINA,ESP,ARG,
10.1016/j.wneu.2019.08.002,usa,NETHERLANDS,USA,NLD,
10.1016/j.sleep.2019.07.002,canada,INDIA,CAN,IND,
10.1016/j.sleep.2019.05.023,chile,BELGIUM,CHL,BEL,
10.1016/j.vaccine.2019.09.080,usa,CANADA,USA,CAN,
10.1016/j.toxicon.2019.09.016,brazil,USA,BRA,USA,
10.1016/j.toxicon.2019.09.014,egypt,MEXICO,EGY,MEX,
10.1016/j.respol.2019.02.009,UK,USA,GBR,USA,
10.1016/j.ces.2019.115228,israel,BELGIUM,ISR,BEL,
10.1016/j.ces.2019.115195,venezuela,USA,VEN,USA,
10.1016/j.resconrec.2019.104502,south africa,UNITED KINGDOM,ZAF,GBR,
10.1016/j.resconrec.2019.104497,usa,CHINA,USA,CHN,
10.1016/j.wneu.2019.09.123,usa,KOREA,USA,KOR,
10.1016/j.vaccine.2019.09.111,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2019.09.105,netherlands,USA,NLD,USA,
10.1016/j.toxicon.2019.11.001,france,COSTA RICA,FRA,CRI,
10.1016/j.ces.2019.115251,algeria,FRANCE,DZA,FRA,
10.1016/j.ces.2019.115299,portugal,UNITED KINGDOM,PRT,GBR,
10.1016/j.ces.2019.115254,france,BELGIUM,FRA,BEL,
10.1016/j.ces.2019.115254,france,BELGIUM,FRA,BEL,
10.1016/j.vaccine.2019.10.088,UK,PANAMA,GBR,PAN,
10.1016/j.vaccine.2019.10.064,philippines,DENMARK,PHL,DNK,
10.1016/j.vaccine.2019.10.103,germany,USA,DEU,USA,
10.1016/j.vaccine.2019.10.077,kenya,BELGIUM,KEN,BEL,
10.1016/j.vaccine.2019.11.047,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2019.11.022,france,GERMANY,FRA,DEU,
10.1016/j.resconrec.2019.104559,south africa,AUSTRALIA,ZAF,AUS,
10.1016/j.wneu.2019.10.157,usa,LEBANON,USA,LBN,
10.1016/j.wneu.2019.10.187,croatia,USA,HRV,USA,
10.1016/j.wneu.2019.11.073,usa,IRAN,USA,IRN,
10.1016/j.wneu.2019.11.069,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.11.129,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.10.063,usa,AUSTRALIA,USA,AUS,
10.1016/j.wneu.2019.10.162,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.09.106,UK,DENMARK,GBR,DNK,
10.1016/j.wneu.2019.10.021,switzerland,UNITED KINGDOM,CHE,GBR,
10.1016/j.wneu.2019.11.015,germany,AUSTRIA,DEU,AUT,
10.1016/j.toxicon.2019.12.002,turkey,CYPRUS,TUR,CYP,
10.1016/j.toxicon.2019.12.155,turkey,ITALY,TUR,ITA,
10.1016/j.vetpar.2020.109028,spain,RUSSIA,ESP,RUS,
10.1016/j.ces.2019.115339,iran,AUSTRALIA,IRN,AUS,
10.1016/j.ces.2019.115351,peoples r china,FRANCE,CHN,FRA,
10.1016/j.ces.2019.115324,colombia,CANADA,COL,CAN,
10.1016/j.vaccine.2019.12.013,afghanistan,SWITZERLAND,AFG,CHE,
10.1016/j.vaccine.2019.11.062,peoples r china,USA,CHN,USA,
10.1016/j.vaccine.2019.11.059,vietnam,USA,VNM,USA,
10.1016/j.vaccine.2019.12.053,mongolia,UNITED KINGDOM,MNG,GBR,
10.1016/j.vaccine.2020.01.002,peoples r china,USA,CHN,USA,
10.1016/j.vaccine.2019.10.105,australia,BELGIUM,AUS,BEL,
10.1016/j.vaccine.2019.10.104,australia,BELGIUM,AUS,BEL,
10.1016/j.ces.2019.115395,peoples r china,THAILAND,CHN,THA,
10.1016/j.ces.2019.115376,usa,BRAZIL,USA,BRA,
10.1016/j.ces.2019.115318,chile,BOTSWANA,CHL,BWA,
10.1016/j.vaccine.2019.07.036,india,SWITZERLAND,IND,CHE,
10.1016/j.vaccine.2020.01.015,somalia,EGYPT,SOM,EGY,
10.1016/j.vaccine.2020.01.016,south korea,INDIA,KOR,IND,
10.1016/j.vaccine.2019.07.047,india,MYANMAR,IND,MMR,
10.1016/j.vaccine.2019.12.011,south korea,INDIA,KOR,IND,
10.1016/j.wneu.2019.11.165,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.12.145,turkey,USA,TUR,USA,
10.1016/j.wneu.2019.12.024,colombia,USA,COL,USA,
10.1016/j.wneu.2019.12.061,japan,USA,JPN,USA,
10.1016/j.wneu.2019.11.135,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.10.186,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.12.065,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.12.071,switzerland,EGYPT,CHE,EGY,
10.1016/j.wneu.2019.11.102,switzerland,EGYPT,CHE,EGY,
10.1016/j.toxicon.2020.01.013,peoples r china,AUSTRALIA,CHN,AUS,
10.1016/j.vetpar.2020.109044,pakistan,EGYPT,PAK,EGY,
10.1016/j.vaccine.2020.01.096,guinea bissau,DENMARK,GNB,DNK,
10.1016/j.vaccine.2020.01.090,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2020.01.058,usa,GERMANY,USA,DEU,
10.1016/j.vaccine.2020.01.035,usa,CANADA,USA,CAN,
10.1016/j.ces.2019.115438,peoples r china,AUSTRALIA,CHN,AUS,
10.1016/j.ces.2019.115429,czech republic,MALAYSIA,CZE,MYS,
10.1016/j.vaccine.2020.02.061,usa,KOREA,USA,KOR,
10.1016/j.vaccine.2020.02.023,burkina faso,CAMEROON,BFA,CMR,
10.1016/j.vaccine.2020.01.097,zimbabwe,UNITED KINGDOM,ZWE,GBR,
10.1016/j.vaccine.2020.02.062,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2020.02.044,dem rep congo,CANADA,COD,CAN,
10.1016/j.vaccine.2020.02.064,switzerland,UNITED KINGDOM,CHE,GBR,
10.1016/j.ces.2019.115465,usa,VIETNAM,USA,VNM,
10.1016/j.vaccine.2020.03.014,ghana,BELGIUM,GHA,BEL,
10.1016/j.vaccine.2020.03.013,usa,CHINA,USA,CHN,
10.1016/j.vaccine.2019.12.042,switzerland,GERMANY,CHE,DEU,
10.1016/j.vaccine.2020.02.081,canada,USA,CAN,USA,
10.1016/j.ces.2020.115541,taiwan,CHINA,TWN,CHN,
10.1016/j.ces.2020.115543,india,PAKISTAN,IND,PAK,
10.1016/j.ces.2020.115549,peoples r china,USA,CHN,USA,
10.1016/j.wneu.2019.06.168,taiwan,CHINA,TWN,CHN,
10.1016/j.vetpar.2019.108923,UK,IRELAND,GBR,IRL,
10.1016/j.vaccine.2018.08.039,UK,USA,GBR,USA,
10.1016/j.vaccine.2018.10.103,new caledonia,USA,NCL,USA,
10.1016/j.vaccine.2019.05.035,kenya,USA,KEN,USA,
10.1016/j.vaccine.2019.09.001,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2019.08.085,bhutan,SWITZERLAND,BTN,CHE,
10.1016/j.vaccine.2019.08.039,taiwan,CHINA,TWN,CHN,
10.1016/j.resconrec.2019.104431,pakistan,KOREA,PAK,KOR,
10.1016/j.resconrec.2019.104421,UK,DENMARK,GBR,DNK,
10.1016/j.resconrec.2019.104407,australia,CHINA,AUS,CHN,
10.1016/j.toxicon.2019.07.012,poland,UNITED KINGDOM,POL,GBR,
10.1016/j.toxicon.2019.07.013,colombia,MEXICO,COL,MEX,
10.1016/j.toxicon.2019.07.010,south korea,USA,KOR,USA,
10.1016/j.wneu.2019.07.200,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.007.082,nepal,CHINA,NPL,CHN,
10.1016/j.wneu.2019.08.009,germany,AUSTRIA,DEU,AUT,
10.1016/j.wneu.2019.07.109,japan,FRANCE,JPN,FRA,
10.1016/j.wneu.2019.07.146,brazil,CANADA,BRA,CAN,
10.1016/j.ces.2019.05.043,iran,CHINA,IRN,CHN,
10.1016/j.ces.2019.06.017,peoples r china,SAUDI ARABIA,CHN,SAU,
10.1016/j.ces.2019.06.026,belgium,USA,BEL,USA,
10.1016/j.ces.2019.06.035,australia,USA,AUS,USA,
10.1016/j.ces.2019.07.037,india,UNITED KINGDOM,IND,GBR,
10.1016/j.rmed.2019.105847,taiwan,CHINA,TWN,CHN,
10.1016/j.rmed.2019.10.004,taiwan,CHINA,TWN,CHN,
10.1016/j.rmed.2019.09.005,greece,NETHERLANDS,GRC,NLD,
10.1016/j.rmed.2019.06.004,france,UNITED KINGDOM,FRA,GBR,
10.1016/j.rmed.2019.05.006,vietnam,AUSTRALIA,VNM,AUS,
10.1016/j.rmed.2019.03.015,taiwan,CHINA,TWN,CHN,
10.1016/j.rmed.2019.02.003,greece,FRANCE,GRC,FRA,
10.1016/j.rmed.2019.02.001,netherlands,GERMANY,NLD,DEU,
10.1016/j.rmed.2018.12.011,italy,USA,ITA,USA,
10.1016/j.rmed.2018.11.006,UK,CANADA,GBR,CAN,
10.1016/j.rmed.2018.11.012,usa,UNITED KINGDOM,USA,GBR,
10.1016/j.vetpar.2019.02.005,finland,ITALY,FIN,ITA,
10.1016/j.rmed.2019.04.014,sweden,DENMARK,SWE,DNK,
