refID,DI,TI.x,TI.y,TI_check,PY.x,PY.y,PY_check,SO,AU,AU_UN,country_refsplitr,AU1_CO,CO,code_refsplitr,code_AU1_CO,code_CO,country_v_AU1_CO,country_v_CO,AU1_CO_v_CO
11,10.1016/j.wneu.2018.09.231,anomalous v3 segment aneurysm associated with congenital atlantoaxial dislocation: case report and discussing the challenges in management,anomalous v3 segment aneurysm associated with congenital atlantoaxial dislocation: case report and discussing the challenges in management,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,MALIK P;SALUNKE P;KATARIA M;KARTHIGEYAN M;RAY N,NOTREPORTED,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
12,10.1016/j.wneu.2018.09.217,intraoperative ultrasound-guided posterior cervical laminectomy for degenerative cervical myelopathy,intraoperative ultrasound-guided posterior cervical laminectomy for degenerative cervical myelopathy,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SCHAR RT;WILSON JR;GINSBERG HJ,UNIV TORONTO,canada,CANADA,CANADA,CAN,CAN,CAN,TRUE,TRUE,TRUE
12,10.1016/j.wneu.2018.09.217,intraoperative ultrasound-guided posterior cervical laminectomy for degenerative cervical myelopathy,intraoperative ultrasound-guided posterior cervical laminectomy for degenerative cervical myelopathy,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SCHAR RT;WILSON JR;GINSBERG HJ,UNIV TORONTO,canada,CANADA,CANADA,CAN,CAN,CAN,TRUE,TRUE,TRUE
12,10.1016/j.wneu.2018.09.217,intraoperative ultrasound-guided posterior cervical laminectomy for degenerative cervical myelopathy,intraoperative ultrasound-guided posterior cervical laminectomy for degenerative cervical myelopathy,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SCHAR RT;WILSON JR;GINSBERG HJ,UNIV TORONTO,canada,CANADA,CANADA,CAN,CAN,CAN,TRUE,TRUE,TRUE
12,10.1016/j.wneu.2018.09.217,intraoperative ultrasound-guided posterior cervical laminectomy for degenerative cervical myelopathy,intraoperative ultrasound-guided posterior cervical laminectomy for degenerative cervical myelopathy,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SCHAR RT;WILSON JR;GINSBERG HJ,UNIV TORONTO,canada,CANADA,CANADA,CAN,CAN,CAN,TRUE,TRUE,TRUE
13,10.1016/j.wneu.2018.09.200,hemorrhagic atypical planum sphenoidale meningioma with intermittent vision loss-rare presentation of apoplexy,hemorrhagic atypical planum sphenoidale meningioma with intermittent vision loss-rare presentation of apoplexy,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RAVINDRA VM;GOZAL YM;PALMER C;COULDWELL WT,UNIV UTAH;UNIV UTAH;BAYLOR COLL MED;MAYFIELD CLIN,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
14,10.1016/j.wneu.2018.09.184,central retinal artery thromboembolism without ophthalmic artery occlusion during stent-assisted coil embolization of ophthalmic artery aneurysm,central retinal artery thromboembolism without ophthalmic artery occlusion during stent-assisted coil embolization of ophthalmic artery aneurysm,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,PARK H;NAKAGAWA I;YOKOYAMA S;WADA T;MOTOYAMA Y;KICHIKAWA K;NAKASE H,NARA MED UNIV;NARA MED UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
15,10.1016/j.wneu.2018.09.236,bilateral vertebral artery dissection and unilateral carotid artery dissection in case of ehlers-danlos syndrome type iv,bilateral vertebral artery dissection and unilateral carotid artery dissection in case of ehlers-danlos syndrome type iv,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,OHSHIMA T;MIYACHI S;ISAJI T;MATSUO N;KAWAGUCHI R;TAKAYASU M,AICHI MED UNIV;AICHI MED UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
16,10.1016/j.wneu.2018.09.206,meckel cave epidermoid cyst presenting as multiple cranial nerve deficits due to indirect tumoral compression of the cavernous sinus: a case report and literature review,meckel cave epidermoid cyst presenting as multiple cranial nerve deficits due to indirect tumoral compression of the cavernous sinus: a case report and literature review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,BUSCH CM;PRICKETT JT;STEIN R;CUOCO JA;MARVIN EA;WITCHER MR,CARIL CLIN;CARIL SCH MED;SCH NEUROSCI;EDWARD VIA COLL OSTEOPATH MED;COLL OSTEOPATH MED,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
17,10.1016/j.wneu.2018.10.010,"""swirl sign"" in extradural hematoma","""swirl sign"" in extradural hematoma",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GUPTA VK;SETH A,GOVT MED COLL AND HOSP;GOVT MED COLL AND HOSP;POSTGRAD INST MED EDUC AND RES,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
18,10.1016/j.wneu.2018.09.096,isolated abducens nerve palsy associated with ruptured posterior inferior cerebellar artery aneurysm: rare neurologic finding,isolated abducens nerve palsy associated with ruptured posterior inferior cerebellar artery aneurysm: rare neurologic finding,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,PARR M;CARMINUCCI A;AL-MUFTI F;ROYCHOWDHURY S;GUPTA G,ROBERT WOOD JOHNSON MED SCH;ROBERT WOOD JOHNSON MED SCH;ROBERT WOOD JOHNSON MED SCH,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
19,10.1016/j.wneu.2018.10.011,retro-odontoid pseudotumor without radiologic atlantoaxial instability: a systematic review,retro-odontoid pseudotumor without radiologic atlantoaxial instability: a systematic review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ROBLES LA;MUNDIS GM,HOSPITEN;SAN DIEGO CTR SPINAL DISORDERS,mexico,MEXICO,MEXICO,MEX,MEX,MEX,TRUE,TRUE,TRUE
20,10.1016/j.wneu.2018.09.218,"multidrug-resistant acinetobacter baumannii ventriculostomy-related infection, treated by a colistin, tigecycline, and intraventricular fibrinolysis","multidrug-resistant acinetobacter baumannii ventriculostomy-related infection, treated by a colistin, tigecycline, and intraventricular fibrinolysis",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,PERIER F;COUFFIN S;MARTIN M;BARDON J;COOK F;MOUNIER R,HENRI MONDOR UNIV HOSP PARIS,france,FRANCE,FRANCE,FRA,FRA,FRA,TRUE,TRUE,TRUE
21,10.1016/j.wneu.2018.08.220,multiple intracranial aneurysms from coccidioidal meningitis: case report featuring aneurysm formation and spontaneous thrombosis with literature review,multiple intracranial aneurysms from coccidioidal meningitis: case report featuring aneurysm formation and spontaneous thrombosis with literature review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,BUCHANAN IA;RAVINA K;STRICKLAND B;FREDRICKSON V;SHE R;MATHEW A;RENNERT R;RUSSIN JJ,UNIV SOUTHERN CALIF;UNIV SOUTHERN CALIF;UNIV CALIF SAN DIEGO,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
22,10.1016/j.wneu.2018.10.031,necrotizing fasciitis involving spine: unusual medical emergency for spine surgeon,necrotizing fasciitis involving spine: unusual medical emergency for spine surgeon,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,TELES AR;MONTGOMERY S;THOMAS KC,MCGILL UNIV;UNIV CALGARY,canada,CANADA,CANADA,CAN,CAN,CAN,TRUE,TRUE,TRUE
23,10.1016/j.wneu.2018.10.030,bone overgrowth causing proximal ventriculoperitoneal shunt malfunction,bone overgrowth causing proximal ventriculoperitoneal shunt malfunction,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KIM M;RYBKIN I;SMITH H;COOPER J;TOBIAS M,WESTCHESTER MED CTR;NEW YORK MED COLL,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
24,10.1016/j.wneu.2018.09.167,moderate sedation for pipeline embolization of posterior circulation disease: technical note from a single center,moderate sedation for pipeline embolization of posterior circulation disease: technical note from a single center,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RAVINDRA VM;GRIAUZDE J;SCOVILLE JP;KILBURG CJ;WILKINSON DA;CHRISTENSEN C;COULDWELL WT;TAUSSKY P,UNIV UTAH;UNIV UTAH;UNIV MICHIGAN,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
25,10.1016/j.wneu.2018.09.230,hybrid surgery for internal carotid artery revascularization,hybrid surgery for internal carotid artery revascularization,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ZANATY M;SAMANIEGO EA;TEFERI N;KUNG DK;NAKAGAWA D;HUDSON J;ORTEGA-GUTIERREZ S;ALLAN L;JABBOUR P;HASAN DM,UNIV IOWA HOSP AND CLIN;UNIV IOWA HOSP AND CLIN;UNIV IOWA HOSP AND CLIN;UNIV IOWA HOSP AND CLIN;UNIV PENN;UNIV TOKYO HOSP;THOMAS JEFFERSON UNIV HOSP,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
26,10.1016/j.wneu.2018.10.012,endonasal chiasmapexy using autologous cartilage/bone for empty sella syndrome after cabergoline therapy for prolactinoma,endonasal chiasmapexy using autologous cartilage/bone for empty sella syndrome after cabergoline therapy for prolactinoma,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ISHIHARA E;TODA M;SASAO R;OZAWA H;SAITO S;OGAWA K;YOSHIDA K,KEIO UNIV;KEIO UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
27,10.1016/j.wneu.2018.10.041,transient episode of alice in wonderland syndrome after ventriculoatrial shunt revision,transient episode of alice in wonderland syndrome after ventriculoatrial shunt revision,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ENTEZAMI P;PAUL A;ADAMO MA;BOULOS AS,ALBANY MED COLL,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
28,10.1016/j.wneu.2018.10.049,endovascular coiling of ruptured very small dissecting fusiform aneurysm of posterior inferior cerebellar artery with parent artery preservation by microcatheter auto-assistance,endovascular coiling of ruptured very small dissecting fusiform aneurysm of posterior inferior cerebellar artery with parent artery preservation by microcatheter auto-assistance,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ARONOV M;MOKIN M;ZELENKOV A;POPUGAEV K;TSARIKAEV A;REUTOV A,STATE RES CTR BURNASYAN FMBC FMBA RUSSIA;STATE RES CTR BURNASYAN FMBC FMBA RUSSIA;STATE RES CTR BURNASYAN FMBC FMBA RUSSIA;FSBI CCH OUTPATIENT HLTH CTR;UNIV S FLORIDA,russia,RUSSIA,RUSSIA,RUS,RUS,RUS,TRUE,TRUE,TRUE
29,10.1016/j.wneu.2018.09.156,intramedullary and extramedullary thoracic spinal lipomas without spinal dysraphism: clinical presentation and surgical management,intramedullary and extramedullary thoracic spinal lipomas without spinal dysraphism: clinical presentation and surgical management,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,CHEN KY;OSORIO J;RIVERA J;CHOU D,UNIV SAN FRANCISCO;TAICHUNG VET GEN HOSP;TAICHUNG VET GEN HOSP;UNIV CALIF BERKELEY,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
30,10.1016/j.wneu.2018.09.199,cranioplasty with porous hydroxyapatite custom-made bone flap: results from a multicenter study enrolling 149 patients over 15 years,cranioplasty with porous hydroxyapatite custom-made bone flap: results from a multicenter study enrolling 149 patients over 15 years,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,FRICIA M;NICOLOSI F;GANAU M;CEBULA H;TODESCHI J;SANTIN MD;NANNAVECCHIA B;MORSELLI C;CHIBBARO S,CANNIZZARO HOSP;HUMANITAS CLIN AND RES CTR;STRASBOURG UNIV HOSP,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
31,10.1016/j.wneu.2018.10.042,an unusual presentation of chronic subdural hematoma with isolated footdrop,an unusual presentation of chronic subdural hematoma with isolated footdrop,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,WEISBERG SD;HOUTEN JK,MAIMONIDES HOSP;DONALD AND BARBARA ZUCKER SCH MED HOFSTRA NORTHWELL,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
32,10.1016/j.wneu.2018.10.057,the siberian lancet: one more possible innovative example of scalpel's contribution to the evolution of surgical anatomy and neurosurgery,the siberian lancet: one more possible innovative example of scalpel's contribution to the evolution of surgical anatomy and neurosurgery,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,TSOUCALAS G,DEMOCRITUS UNIV THRACE,greece,GREECE,GREECE,GRC,GRC,GRC,TRUE,TRUE,TRUE
33,10.1016/j.wneu.2018.10.047,endoscopic endonasal approach combined with a simultaneous transcranial approach for giant pituitary tumors,endoscopic endonasal approach combined with a simultaneous transcranial approach for giant pituitary tumors,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KUGA D;TODA M;OZAWA H;OGAWA K;YOSHIDA K,KEIO UNIV;KEIO UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
34,10.1016/j.wneu.2018.10.053,application of a thrombin-gelatin matrix in the management of intractable hemorrhage during stereotactic biopsy,application of a thrombin-gelatin matrix in the management of intractable hemorrhage during stereotactic biopsy,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,DE QUINTANA-SCHMIDT C;LEIDINGER A;TEIXIDO JM;BERTRAN GC,HOSP SANTA CREU AND SANT PAU,spain,SPAIN,SPAIN,ESP,ESP,ESP,TRUE,TRUE,TRUE
35,10.1016/j.wneu.2018.10.045,the evolution of modern treatment for depressed skull fractures,the evolution of modern treatment for depressed skull fractures,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,STEIN SC,UNIV PENN,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
36,10.1016/j.wneu.2018.10.055,pallidothalamic tractotomy for parkinson disease with 1-year follow-up: a case report,pallidothalamic tractotomy for parkinson disease with 1-year follow-up: a case report,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HORISAWA S;NANKE M;KAWAMATA T;TAIRA T,TOKYO WOMENS MED UNIV;TOKYO WOMENS MED UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
37,10.1016/j.wneu.2018.10.008,effect of bilateral anterior cingulotomy on chronic neuropathic pain with severe depression,effect of bilateral anterior cingulotomy on chronic neuropathic pain with severe depression,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,DENG ZD;PAN YX;LI DY;ZHANG CC;JIN HY;WANG T;ZHAN SK;SUN BM,SHANGHAI JIAO TONG UNIV;SHANGHAI JIAO TONG UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
38,10.1016/j.wneu.2018.09.183,pituitary apoplexy following endoscopic retrograde cholangiopancreatography,pituitary apoplexy following endoscopic retrograde cholangiopancreatography,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,CRISMAN C;WARD M;MAJMUNDAR N;DAMODARA N;HSUEH WD;ELOY JA;LIU JK,RUTGERSE NEW JERSEY MED SCH;RUTGERSE NEW JERSEY MED SCH,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
39,10.1016/j.wneu.2018.10.046,subcortical calculation mapping during parietal glioma surgery in the dominant hemisphere: a case report,subcortical calculation mapping during parietal glioma surgery in the dominant hemisphere: a case report,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,MATSUDA R;TAMURA K;NISHIMURA F;NAKAGAWA I;MOTOYAMA Y,NARA MED UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
40,10.1016/j.wneu.2018.10.048,"pituitary adenoma and craniopharyngioma collision tumor: diagnostic, treatment considerations, and review of the literature","pituitary adenoma and craniopharyngioma collision tumor: diagnostic, treatment considerations, and review of the literature",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SNYDER R;FAYED I;DOWLATI E;SEAGER A;MASON RB,MEDSTAR GEORGETOWN UNIV HOSP;MEDSTAR WASHINGTON HOSP CTR;MEDSTAR WASHINGTON HOSP CTR,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
41,10.1016/j.wneu.2018.10.074,surgical management of trigeminal neuralgia in children,surgical management of trigeminal neuralgia in children,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,CHICOINE NH;YAACOUB AP;JEA A;RASKIN JS,MARIAN UNIV;INDIANA UNIV,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
42,10.1016/j.wneu.2018.09.182,need for grass root innovation in developing countries: case for stationary binder clips in scalp hemostasis,need for grass root innovation in developing countries: case for stationary binder clips in scalp hemostasis,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,YAGNICK NS;SINGH R;TRIPATHI M;MOHINDRA S;DEORA H;SURI A;GUPTA SK,POSTGRAD INST MED EDUC AND RES;ALL INDIA INST MED SCI;SANJAY GANDHI POST GRAD INST MED SCI,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
43,10.1016/j.wneu.2018.09.219,rare and symptomatic cavernous donut-shaped aneurysm treated by flow diverter deployment,rare and symptomatic cavernous donut-shaped aneurysm treated by flow diverter deployment,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SGRECCIA A;CARAGLIANO A;SANFILIPPO G;CAMPA S;TRIGNANI R;GIANNONI M;DE NICOLA M;CONSOLI A;RODESCH G;POLONARA G,HOSP NEUROSURG;UNIV MESSINA;IRCCS FDN POLICLIN SAN MATTEO;SURESNES,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
44,10.1016/j.wneu.2018.09.185,intracranial migration of a broken rod after orbitocranial injury in an adult,intracranial migration of a broken rod after orbitocranial injury in an adult,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RAHIMIZADEH A,IRAN UNIV MED SCI,iran,IRAN,IRAN,IRN,IRN,IRN,TRUE,TRUE,TRUE
45,10.1016/j.wneu.2018.10.028,natural course of myxopapillary ependymoma: unusual case report and review of literature,natural course of myxopapillary ependymoma: unusual case report and review of literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,PUSAT S;ERBAS YC;GOCMEN S;KOCAOGLU M;ERDOGAN E,SULTAN ABDULHAMID TRAINING AND RES HOSP;CRANIOSPINAL SURG CTR;ANADOLU MED CTR HOSP;PAMUKKALE UNIV HOSP,turkey,TURKEY,TURKEY,TUR,TUR,TUR,TRUE,TRUE,TRUE
46,10.1016/j.wneu.2018.08.176,recurrent secondary trigeminal neuralgia caused by obliterated tentorial dural arteriovenous fistula cured with surgical resection: case report and literature review,recurrent secondary trigeminal neuralgia caused by obliterated tentorial dural arteriovenous fistula cured with surgical resection: case report and literature review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,JIANG LD;QI M;YE M;LI M;BAO YH;LIANG JT,CAPITAL MED UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
47,10.1016/j.wneu.2018.09.097,gene therapy for neurologic disease: a neurosurgical review,gene therapy for neurologic disease: a neurosurgical review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HITTI FL;GONZALEZ-ALEGRE P;LUCAS TH,UNIV PENN;UNIV PENN,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
48,10.1016/j.wneu.2018.09.134,optimizing patient access during an emergency while using intraoperative computed tomography,optimizing patient access during an emergency while using intraoperative computed tomography,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,BUSTILLO MA;LIEN CA;MACK PF;KOPMAN DJ;SAFAVYNIA SA;RUBIN L;STEIN D;HARTL R;STIEG PE;HERNANDEZ RN;GOLDSTEIN PA,WEILL CORNELL MED COLL;WEILL CORNELL MED COLL;WEILL CORNELL MED COLL;MED COLL WISCONSIN;RUTGERS MED SCH,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
49,10.1016/j.wneu.2018.09.048,utility of the vidian canal in endoscopic skull base surgery: detailed anatomy and relationship to the internal carotid artery,utility of the vidian canal in endoscopic skull base surgery: detailed anatomy and relationship to the internal carotid artery,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ADIN ME;OZMEN CA;AYGUN N,TATVAN CAN HOSP;DICLE UNIV;JOHNS HOPKINS UNIV,turkey,TURKEY,TURKEY,TUR,TUR,TUR,TRUE,TRUE,TRUE
50,10.1016/j.wneu.2018.09.192,regional variation in opioid use after lumbar spine surgery,regional variation in opioid use after lumbar spine surgery,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ADOGWA O;DAVISON MA;VUONG VD;DESAI SA;LILLY DT;MORENO J;CHENG J;BAGLEY C,RUSH UNIV;UNIV TEXAS SOUTHWESTERN MED CTR DALLAS;UNIV CINCINNATI,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
51,10.1016/j.wneu.2018.09.124,"prognostic importance of age, tumor location, and tumor grade in grade ii astrocytomas: an integrated analysis of the cancer genome atlas and the surveillance, epidemiology, and end results database","prognostic importance of age, tumor location, and tumor grade in grade ii astrocytomas: an integrated analysis of the cancer genome atlas and the surveillance, epidemiology, and end results database",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ALATTAR AA;CARROLL KT;BRYANT AK;HIRSHMAN B;JOSHI R;CARTER BS;HARISMENDY O;CHEN CC,UNIV CALIF SAN DIEGO;UNIV CALIF SAN DIEGO;UNIV CALIF SAN DIEGO;MASSACHUSETTS GEN HOSP;CARNEGIE MELLON UNIV;UNIV MINNESOTA,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
52,10.1016/j.wneu.2018.10.018,human papillomavirus and human cytomegalovirus infection and association with prognosis in patients with primary glioblastoma in pakistan,human papillomavirus and human cytomegalovirus infection and association with prognosis in patients with primary glioblastoma in pakistan,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ALI SMA;MIRZA Y;AHMAD Z;ZAHID N;ENAM SA,OFF ACAD AND RES SURG;DEPT PATHOL AND LAB MED;AGA KHAN UNIV,pakistan,PAKISTAN,PAKISTAN,PAK,PAK,PAK,TRUE,TRUE,TRUE
